"i","t","x","y"
1,1,-0.88975216784346,4.38203062804558
1,2,-0.396128801461721,2.90956747545241
1,3,-1.44772042470985,0.340699659596577
1,4,0.344006485084884,1.57257723801933
1,5,0.497806614994058,1.40795155935358
1,6,0.564023340205033,2.19852767603225
1,7,0.0648335019721087,2.14294953361888
1,8,0.599202071915248,2.49373610664611
1,9,0.473669503528457,1.03366200556977
1,10,0.601083529352979,1.91888616279708
1,11,0.947691380501957,0.97475693805007
1,12,1.16309543086289,2.09951011625725
1,13,-0.174001409819302,1.74990411058781
1,14,0.608329856240929,2.50621386161335
1,15,-1.58219581084287,2.8917492122624
1,16,1.04844604073325,1.26689591325051
1,17,-0.247270264007266,4.11702234582286
1,18,-0.90741486843909,1.2259490193735
1,19,0.866245212007557,3.47708965778318
1,20,1.0353429862995,0.43197394027944
2,1,-0.35976146930591,1.16869942785492
2,2,0.69861542004032,1.53961776346147
2,3,-1.76868499570735,1.65006872771668
2,4,-0.278846644376146,2.11192919091862
2,5,-1.16622487870273,2.75647497993467
2,6,-0.076947250963417,2.54983270130071
2,7,-1.36700946960379,0.488639004258257
2,8,-1.13604859752355,0.842277004061601
2,9,-0.442678150769414,1.51940079813426
2,10,0.188596854442442,3.77908188607646
2,11,1.34864115619112,0.784170628520533
2,12,1.33142111205793,1.68990868613692
2,13,0.624935935034013,0.813835044340819
2,14,-0.0331304045621196,3.44942055843133
2,15,1.10986689676351,0.169514665527958
2,16,1.14863670433273,1.48658186165631
2,17,0.343649299587242,1.56677699061676
2,18,-1.78974412374712,5.39947078258432
2,19,-0.0101468808758257,1.92299997884499
2,20,0.365678903900885,4.00495666802685
3,1,-1.58448252385818,2.48980624649115
3,2,-1.57307763784705,0.998941767028083
3,3,-0.0298937111125139,3.09162008072646
3,4,-0.22320640686846,0.391296017193503
3,5,-2.11418965439113,0.480810228353864
3,6,-0.753224343747938,1.54593607450402
3,7,0.838583927342345,2.82066478854212
3,8,1.09196837588525,0.683063295539446
